------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
60          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 8.328806770524046e+01 -1.237749558692636e+00  0.000000000000000e+00 -3.601896247162477e+00 -6.476000278276630e-01  3.167084100185892e+00       43
 8.527111693631761e+01 -1.365337815278659e+00  0.000000000000000e+00 -3.766724136963201e+00 -9.071397255578008e-01  3.090950540070448e+00       44
 8.725416616739477e+01 -1.498299988682346e+00  0.000000000000000e+00 -3.917145374508061e+00 -1.174183651744388e+00  3.014932869396558e+00       45
 8.923721539847192e+01 -1.636277222671238e+00  0.000000000000000e+00 -4.062612259845610e+00 -1.436943261812999e+00  2.938702556598292e+00       46
 9.122026462954908e+01 -1.779284421270345e+00  0.000000000000000e+00 -4.180761045606614e+00 -1.676397619878476e+00  2.861640212452495e+00       47
 9.320331386062624e+01 -1.925418934929798e+00  0.000000000000000e+00 -4.282349413429841e+00 -1.893217955947244e+00  2.783791894313496e+00       48
 9.518636309170341e+01 -2.075439059876505e+00  0.000000000000000e+00 -4.386865221661680e+00 -2.060866013559260e+00  2.704114208467504e+00       49
 9.716941232278053e+01 -2.228787617325923e+00  0.000000000000000e+00 -4.479479933504081e+00 -2.144765409008631e+00  2.622294805247438e+00       50
 9.915246155385768e+01 -2.385199488264532e+00  0.000000000000000e+00 -4.584194230341335e+00 -2.171787871754350e+00  2.538149072435076e+00       51
 1.011355107849349e+02 -2.545773861194020e+00  0.000000000000000e+00 -4.717099095525256e+00 -2.169841737903316e+00  2.451913477622042e+00       52
 1.031185600160120e+02 -2.711355311413398e+00  0.000000000000000e+00 -4.860640579926709e+00 -2.146669637330681e+00  2.363871504105822e+00       53
 1.051016092470892e+02 -2.881831149097769e+00  0.000000000000000e+00 -5.001499339141925e+00 -2.101624641165679e+00  2.274062408079829e+00       54
 1.070846584781663e+02 -3.057126960104950e+00  0.000000000000000e+00 -5.135784693316398e+00 -2.034582423164419e+00  2.182555796759211e+00       55
 1.090677077092435e+02 -3.236861877026825e+00  0.000000000000000e+00 -5.271413462765770e+00 -1.944520688672223e+00  2.089412293614244e+00       56
 1.110507569403206e+02 -3.421507417067131e+00  0.000000000000000e+00 -5.417085257772190e+00 -1.821305096026263e+00  1.994540012470435e+00       57
 1.130338061713978e+02 -3.611282115198038e+00  0.000000000000000e+00 -5.535766747263539e+00 -1.655912539509068e+00  1.898549506409309e+00       58
 1.150168554024749e+02 -3.804105463358290e+00  0.000000000000000e+00 -5.624597249864655e+00 -1.463084875735750e+00  1.795796624288552e+00       59
 1.169999046335521e+02 -3.999999999999996e+00  0.000000000000000e+00 -5.669181174213596e+00 -1.242387706272970e+00  5.000000000000000e-01       60
